"","Connective","SENT_ID","chi_surp","OOV","seq_len","TARGET_WORD","freq","chi_surp_llama2Chinese7B","OOV_llama2Chinese7B","seq_len_llama2Chinese7B","Plausibility","Z_Surp","Z_Surp_llama"
"202","ConnectiveH",22,11.96,0,39,"绊",3.38,6.51,0,29,"Plausible",0.662925216007741,-0.112822750664275
"203","ConnectiveH",23,9.76,1,39,"减少",5.17,9.37,0,22,"Implausible",0.198024548589475,0.477719997892186
"204","ConnectiveN",24,3.73,1,38,"担心",5.16,3.96,0,24,"Plausible",-1.07622591710695,-0.6393556208807
"205","ConnectiveN",25,4.15,1,39,"结束",5.39,0,1,23,"Implausible",-0.987472153327102,-1.45703019580503
"206","ConnectiveH",26,3.56,1,38,"倒闭",4.09,3.3,0,24,"Plausible",-1.11215005958927,-0.775634716701422
"207","ConnectiveH",27,5.82,0,38,"扔",4.4,5.51,0,26,"Implausible",-0.634570283059601,-0.31930622918052
"208","ConnectiveN",28,7.13,1,38,"拒绝",5.09,0,1,26,"Plausible",-0.357743067460542,-1.45703019580503
"209","ConnectiveN",29,8.89,1,38,"喝彩",3.36,6.53,1,28,"Implausible",0.0141774664740703,-0.10869308109395
"210","ConnectiveH",30,5.17,0,37,"戳",4.03,6.5,0,27,"Plausible",-0.771927298433179,-0.114887585449437
"211","ConnectiveH",31,5.29,1,37,"杂草",3.53,3.46,1,25,"Implausible",-0.746569080210365,-0.742597360138822
"212","ConnectiveN",32,5.01,1,38,"失望",4.69,4,0,24,"Plausible",-0.805738256063599,-0.63109628174005
"213","ConnectiveN",33,0,1,38,"负面",4.36,0,1,24,"Implausible",-1.8644438668661,-1.45703019580503
"215","ConnectiveH",35,10.87,1,40,"训斥",3.1,9.36,1,28,"Implausible",0.432588067150509,0.475655163107023
"216","ConnectiveN",36,10.41,1,40,"升职",3.4,14.77,0,23,"Plausible",0.335381563963054,1.59273078187991
"217","ConnectiveN",37,12.59,1,38,"宿醉",2.48,14.67,1,25,"Implausible",0.796055861677517,1.57208243402828
