"","SOS_ID","ITEM_ID","SENT_ID","Connective","ita_surp_GePpeTto","OOV_GePpeTto","seq_len_GePpeTto","TARGET_WORD","freq","ita_surp_GroNLP","OOV_GroNLP","seq_len_GroNLP","ita_surp_llama2Italian7B","OOV_llama2Italian7B","seq_len_llama2Italian7B","Plausibility","Z_Surp_GePpeTto","Z_Surp_GroNLP","Z_Surp_llama2Italian7B"
"563","SR4b_17",97,388,"ConnectiveH",2.65,1,34,"schiantata",2.37,3.98,1,35,1.97,1,46,"Plausible",-1.20558744427265,-1.12797248863109,-1.1639246826062
"564","SR4b_18",98,389,"ConnectiveN",23.46,1,31,"tosse",3.77,21.55,1,31,24.18,1,47,"Plausible",2.45477025888299,1.70617888988816,1.55642839513557
"565","SR4b_19",99,394,"ConnectiveN",16.5,1,33,"brontolare",2.21,22.49,1,33,23.2,1,50,"Implausible",1.23054682716923,1.85780679517036,1.4363948059331
"566","SR4b_20",100,399,"ConnectiveH",4.62,0,36,"ospedale",4.77,6.03,0,36,19.74,1,53,"Implausible",-0.85907592696287,-0.797294610090144,1.01260274609579
"567","SR4b_21",101,404,"ConnectiveH",7.34,0,28,"soddisfatti",3.77,7.81,0,28,14.93,1,44,"Plausible",-0.380643781235655,-0.510169427747271,0.423458292969369
"568","SR4b_22",102,405,"ConnectiveN",13.8,1,29,"whisky",3.44,14.59,1,31,6.03,1,37,"Plausible",0.755632564866482,0.583487165671088,-0.666642670195952
"569","SR3b_24",104,414,"ConnectiveN",8.76,0,32,"cresta",3.74,11.49,0,32,11.59,1,43,"Implausible",-0.130874058098652,0.0834376908042869,0.0143642236466531
"570","SR3b_25",105,419,"ConnectiveH",9.24,1,29,"lividi",3.36,12.13,1,29,12.25,1,45,"Implausible",-0.0464448559114966,0.186673711421949,0.0952031714768903
"571","SR3b_26",106,424,"ConnectiveH",16.3,1,27,"panino",3.98,16.1,1,28,14.6,1,42,"Plausible",1.19536799292458,0.827059651815885,0.38303881905425
"572","SR3b_27",107,425,"ConnectiveN",4.67,0,28,"enormi",4.34,4.15,0,28,9.52,1,43,"Plausible",-0.850281218401708,-1.10055042065453,-0.23917611273
"573","SR3b_28",108,430,"ConnectiveN",10.53,0,28,"tagliato",4.17,10.37,0,28,11.78,1,41,"Implausible",0.180458624966484,-0.0972253452766221,0.0376360419614183
"574","SR2b_30",110,439,"ConnectiveH",10.15,1,27,"respinse",3.06,10.34,1,27,33.07,1,47,"Implausible",0.113618839901653,-0.102064533743075,2.64530452575801
"575","SR4b_33",113,452,"ConnectiveH",16.59,1,29,"esultava",1.99,17.01,1,29,22.34,1,42,"Plausible",1.24637730257932,0.973848368631624,1.33105920724521
"576","SR4b_34",114,453,"ConnectiveN",5.63,1,29,"spaventati",3.39,5.6,1,29,2.22,1,48,"Plausible",-0.681422814027397,-0.866656311442636,-1.13330386903414
"577","SR4b_35",115,458,"ConnectiveN",14.73,1,30,"affamato",3.41,15.76,1,30,17.73,1,46,"Implausible",0.919214144104096,0.772215515862752,0.766411404976436
"578","SR4b_36",116,463,"ConnectiveH",11.6,0,29,"professionista",4.39,11.79,0,29,2.72,1,37,"Implausible",0.368665388175352,0.131829575468816,-1.07206224189002
"579","SR2b_39",119,476,"ConnectiveH",0,1,30,"chiuse",4.35,4.52,0,31,3.97,1,46,"Plausible",-1.67170699801424,-1.04086709623494,-0.918958174029723
"580","SR2b_40",120,477,"ConnectiveN",3.47,0,30,"condannata",3.75,2.78,0,32,2.41,1,43,"Plausible",-1.0613542238696,-1.32154002728921,-1.11003205071937
"581","SR2b_41",121,482,"ConnectiveN",6.85,0,26,"ricco",4.7,8.35,0,27,7.8,1,38,"Implausible",-0.466831925135043,-0.423064035351118,-0.44984731010577
"582","SR1b_43",123,491,"ConnectiveH",25.28,1,35,"arrossito",1.91,27.76,1,35,23.09,1,47,"Implausible",2.77489765050929,2.70789090244392,1.42292164796139
"583","SR1b_44",124,496,"ConnectiveH",15.31,1,31,"dolorante",3.02,16.11,1,32,5.15,1,38,"Plausible",1.02123276341358,0.828672714638036,-0.774427933969601
"584","SR1b_45",125,497,"ConnectiveN",10.74,0,30,"cortile",4.19,11.54,0,30,15.27,1,44,"Plausible",0.217396400923365,0.0915030049150416,0.46510259942737
"585","SR2b_49",129,514,"ConnectiveN",6.67,0,33,"preoccupato",4.16,7.44,0,33,7.81,1,60,"Implausible",-0.498492875955226,-0.569852752166857,-0.448622477562888
"586","SR4b_52",132,527,"ConnectiveH",10.99,0,30,"unico",5.34,11.41,0,30,2.35,1,43,"Implausible",0.261369943729175,0.0705331882270791,-1.11738104597667
"587","SR2b_55",135,540,"ConnectiveH",6.46,1,29,"rapita",3.63,10.6,1,29,3.15,1,40,"Plausible",-0.535430651912107,-0.0601249003671497,-1.01939444254608
